name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
sales revenue,Passenger Cars,Worldwide,218380,2023,€ million,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
sales revenue,Passenger Cars,Worldwide,189312,2022,€ million,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating result,Passenger Cars,Worldwide,14704,2023,€ million,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating result,Passenger Cars,Worldwide,14603,2022,€ million,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating return on sales,Passenger Cars,Worldwide,6.7,2023,%,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating return on sales,Passenger Cars,Worldwide,7.7,2022,%,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
sales revenue,Commercial Vehicles,Worldwide,45731,2023,€ million,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
sales revenue,Commercial Vehicles,Worldwide,39516,2022,€ million,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating result,Commercial Vehicles,Worldwide,3714,2023,€ million,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating result,Commercial Vehicles,Worldwide,1588,2022,€ million,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating return on sales,Commercial Vehicles,Worldwide,8.1,2023,%,5,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating return on sales,Commercial Vehicles,Worldwide,4.0,2022,%,5,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
sales revenue,Power Engineering,Worldwide,4044,2023,€ million,6,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
sales revenue,Power Engineering,Worldwide,3565,2022,€ million,6,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating result,Power Engineering,Worldwide,366,2023,€ million,7,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating result,Power Engineering,Worldwide,281,2022,€ million,7,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating return on sales,Power Engineering,Worldwide,9.0,2023,%,8,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
operating return on sales,Power Engineering,Worldwide,7.9,2022,%,8,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar23_page_046_table_00_kpis.json
