name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
total research and development costs,Automotive Division,Worldwide,13135,2017,€ million,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
total research and development costs,Automotive Division,Worldwide,13672,2016,€ million,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
capitalized development costs,Automotive Division,Worldwide,5260,2017,€ million,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
capitalized development costs,Automotive Division,Worldwide,5750,2016,€ million,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
capitalization ratio,Automotive Division,Worldwide,40.0,2017,%,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
capitalization ratio,Automotive Division,Worldwide,42.1,2016,%,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
amortization of capitalized development costs,Automotive Division,Worldwide,3734,2017,€ million,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
amortization of capitalized development costs,Automotive Division,Worldwide,3587,2016,€ million,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
research and development costs recognized in profit or loss,Automotive Division,Worldwide,11609,2017,€ million,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
research and development costs recognized in profit or loss,Automotive Division,Worldwide,11509,2016,€ million,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
sales revenue,Automotive Division,Worldwide,196949,2017,€ million,5,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
sales revenue,Automotive Division,Worldwide,186016,2016,€ million,5,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
total research and development costs,Automotive Division,Worldwide,13135,2017,€ million,6,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
total research and development costs,Automotive Division,Worldwide,13672,2016,€ million,6,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
R&D ratio,Automotive Division,Worldwide,6.7,2017,%,7,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
R&D ratio,Automotive Division,Worldwide,7.3,2016,%,7,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar17_page_093_table_00_kpis.json
